id,address,Name,Latitude,Longitude,landform_type,city
landf_1,"Piazzetta Bernardo Clesio, Pez, Maiano, Cles, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38023, Italia",Lago di Santa Giustina,46.36216108,11.05342464,lake,region_30
landf_2,"Strada Statale 47 della Valsugana, Tenna, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38052, Italia",Lago di Caldonazzo,46.01519782,11.24999006,lake,region_73
landf_3,"Lago di Levico, Località al Lago, Levico Terme, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38056, Italia",Lago di Levico,46.01627742,11.27495386,lake,region_34
landf_4,"Sentiero giro del lago, Molveno, Comunità della Paganella, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38018, Italia",Lado di Molveno,46.12064118,10.95812426,lake,region_42
landf_5,"Castel Toblino, SS45bis, Sarche, Madruzzo, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 30876, Italia",Lago di Toblino,46.05194775,10.9652773,lake,region_113
landf_6,"Via Lungo Lago, Trebi, Cavedine, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38073, Italia",Lago di Cavedine,45.99610564,10.94581687,lake,region_95
landf_7,"Via Lungolago, Mezzolago, Ledro, Comunità Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38067, Italia",Lago di Ledro ,45.87753713,10.75145444,lake,region_31
landf_8,"Punta Calcarole, Nago-Torbole, Comunità Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38069, Italia",Lago di Garda,45.84114685,10.84769665,lake,region_40
landf_9,"Sentiero Belvedere (chiuso), Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Lago di Tovel,46.2604,10.9489,lake,region_163
landf_10,"Via Lungolago, Pissol, Canzolino, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia",Lago di Canzolino,46.083,11.226,lake,region_125
landf_11,"Via al Lago di Terlago, Terlago, Vallelaghi, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",Lago de Terlago,46.0989,11.0555,lake,region_159
landf_12,"Vicolo del Palazzo, Santa Massenza, Padergnone, Vallelaghi, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",Lago di Santa Massenza,46.0655,10.9833,lake,region_159
landf_13,"15, Lago di Céi, Villa Lagarina, Comunità della Vallagarina, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38060, Italia",Lago di Cei,45.9509,11.0202,lake,region_162
landf_14,"Albergo Lago Santa Colomba, Strada per Santa Colomba, Sant'Agnese, Civezzano, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38045, Italia",Lago Santa Colomba,46.1244,11.1807,lake,region_99
landf_15,"Via Coste de Lagol, Lagolo, Madruzzo, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38076, Italia",Lago di Lagolo,46.0401,11.006,lake,region_113
landf_16,"Sentiero Lago Lases, Lases, Lona-Lases, Comunità della Valle di Cembra, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38040, Italia",Lago di Lases,46.1391,11.2213,lake,region_118
landf_17,"Località Némbia, San Lorenzo Dorsino, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38070, Italia",Lago di Nembia,46.0972,10.9331,lake,region_59
landf_18,"Abisso di Lamar, Strada dei Laghi di Lamar, Vallelaghi, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38015, Italia",Lago di Lamar,46.1304,11.0636,lake,region_159
